11/12/2020,1
11/11/2020,8
11/10/2020,11
11/9/2020,8
11/8/2020,8
11/7/2020,7
11/6/2020,7
11/5/2020,8
11/4/2020,5
11/3/2020,5
11/2/2020,10
11/1/2020,10
10/31/2020,7
10/30/2020,9
10/29/2020,5
10/28/2020,7
10/27/2020,10
10/26/2020,6
10/25/2020,7
10/24/2020,5
10/23/2020,5
10/22/2020,6
10/21/2020,8
10/20/2020,10
10/19/2020,8
10/18/2020,9
10/17/2020,4
10/16/2020,9
10/15/2020,11
10/14/2020,12
10/13/2020,6
10/12/2020,5
10/11/2020,6
10/10/2020,11
10/9/2020,5
10/8/2020,8
10/7/2020,4
10/6/2020,9
10/5/2020,11
10/4/2020,3
10/3/2020,5
10/2/2020,5
10/1/2020,8
9/30/2020,5
9/29/2020,8
9/28/2020,9
9/27/2020,6
9/26/2020,9
9/25/2020,5
9/24/2020,8
9/23/2020,6
9/22/2020,9
9/21/2020,13
9/20/2020,6
9/19/2020,5
9/18/2020,12
9/17/2020,6
9/16/2020,7
9/15/2020,7
9/14/2020,6
9/13/2020,7
9/12/2020,10
9/11/2020,7
9/10/2020,7
9/9/2020,8
9/8/2020,5
9/7/2020,11
9/6/2020,8
9/5/2020,10
9/4/2020,7
9/3/2020,5
9/2/2020,7
9/1/2020,7
8/31/2020,7
8/30/2020,10
8/29/2020,7
8/28/2020,6
8/27/2020,14
8/26/2020,9
8/25/2020,8
8/24/2020,8
8/23/2020,6
8/22/2020,11
8/21/2020,9
8/20/2020,6
8/19/2020,12
8/18/2020,7
8/17/2020,8
8/16/2020,5
8/15/2020,4
8/14/2020,9
8/13/2020,7
8/12/2020,10
8/11/2020,9
8/10/2020,15
8/9/2020,12
8/8/2020,10
8/7/2020,4
8/6/2020,9
8/5/2020,10
8/4/2020,7
8/3/2020,3
8/2/2020,9
8/1/2020,7
7/31/2020,10
7/30/2020,5
7/29/2020,8
7/28/2020,11
7/27/2020,8
7/26/2020,6
7/25/2020,6
7/24/2020,9
7/23/2020,7
7/22/2020,6
7/21/2020,8
7/20/2020,7
7/19/2020,5
7/18/2020,6
7/17/2020,10
7/16/2020,3
7/15/2020,8
7/14/2020,12
7/13/2020,9
7/12/2020,6
7/11/2020,4
7/10/2020,10
7/9/2020,7
7/8/2020,4
7/7/2020,5
7/6/2020,5
7/5/2020,2
7/4/2020,4
7/3/2020,8
7/2/2020,2
7/1/2020,8
6/30/2020,12
6/29/2020,7
6/28/2020,4
6/27/2020,6
6/26/2020,5
6/25/2020,9
6/24/2020,13
6/23/2020,12
6/22/2020,6
6/21/2020,5
6/20/2020,7
6/19/2020,8
6/18/2020,6
6/17/2020,3
6/16/2020,7
6/15/2020,7
6/14/2020,7
6/13/2020,9
6/12/2020,6
6/11/2020,5
6/10/2020,12
6/9/2020,2
6/8/2020,6
6/7/2020,8
6/6/2020,9
6/5/2020,7
6/4/2020,11
6/3/2020,8
6/2/2020,9
6/1/2020,5
5/31/2020,7
5/30/2020,13
5/29/2020,4
5/28/2020,9
5/27/2020,9
5/26/2020,8
5/25/2020,7
5/24/2020,4
5/23/2020,4
5/22/2020,8
5/21/2020,4
5/20/2020,7
5/19/2020,10
5/18/2020,10
5/17/2020,6
5/16/2020,6
5/15/2020,5
5/14/2020,4
5/13/2020,12
5/12/2020,18
5/11/2020,14
5/10/2020,6
5/9/2020,9
5/8/2020,6
5/7/2020,7
5/6/2020,5
5/5/2020,7
5/4/2020,8
5/3/2020,10
5/2/2020,8
5/1/2020,7
4/30/2020,7
4/29/2020,9
4/28/2020,7
4/27/2020,1
4/26/2020,6
4/25/2020,5
4/24/2020,9
4/23/2020,7
4/22/2020,10
4/21/2020,6
4/20/2020,7
4/19/2020,8
4/18/2020,4
4/17/2020,8
4/16/2020,6
4/15/2020,8
4/14/2020,4
4/13/2020,9
4/12/2020,9
4/11/2020,6
4/10/2020,4
4/9/2020,5
4/8/2020,12
4/7/2020,7
4/6/2020,6
4/5/2020,8
4/4/2020,6
4/3/2020,9
4/2/2020,8
4/1/2020,9
3/31/2020,7
3/30/2020,6
3/29/2020,4
3/28/2020,4
3/27/2020,11
3/26/2020,6
3/25/2020,12
3/24/2020,3
3/23/2020,10
3/22/2020,5
3/21/2020,11
3/20/2020,7
3/19/2020,5
3/18/2020,6
3/17/2020,7
3/16/2020,5
3/15/2020,5
3/14/2020,5
3/13/2020,9
3/12/2020,4
3/11/2020,8
3/10/2020,6
3/9/2020,11
3/8/2020,8
3/7/2020,5
3/6/2020,8
3/5/2020,4
3/4/2020,2
3/3/2020,7
3/2/2020,7
3/1/2020,9
2/29/2020,7
2/28/2020,9
2/27/2020,5
2/26/2020,10
2/25/2020,4
2/24/2020,8
2/23/2020,14
2/22/2020,10
2/21/2020,13
2/20/2020,11
2/19/2020,8
2/18/2020,5
2/17/2020,3
2/16/2020,6
2/15/2020,5
2/14/2020,5
2/13/2020,10
2/12/2020,6
2/11/2020,8
2/10/2020,4
2/9/2020,3
2/8/2020,3
2/7/2020,5
2/6/2020,7
2/5/2020,10
2/4/2020,5
2/3/2020,7
2/2/2020,8
2/1/2020,5
1/31/2020,8
1/30/2020,8
1/29/2020,7
1/28/2020,5
1/27/2020,7
1/26/2020,8
1/25/2020,8
1/24/2020,7
1/23/2020,8
1/22/2020,7
1/21/2020,10
1/20/2020,5
1/19/2020,10
1/18/2020,8
1/17/2020,8
1/16/2020,7
1/15/2020,8
1/14/2020,3
1/13/2020,9
1/12/2020,6
1/11/2020,5
1/10/2020,10
1/9/2020,6
1/8/2020,5
1/7/2020,9
1/6/2020,11
1/5/2020,12
1/4/2020,7
1/3/2020,8
1/2/2020,9
1/1/2020,8
12/31/2019,5
12/30/2019,3
12/29/2019,10
12/28/2019,3
12/27/2019,8
12/26/2019,11
12/25/2019,9
12/24/2019,10
12/23/2019,5
12/22/2019,6
12/21/2019,7
12/20/2019,8
12/19/2019,5
12/18/2019,7
12/17/2019,6
12/16/2019,9
12/15/2019,6
12/14/2019,10
12/13/2019,5
12/12/2019,10
12/11/2019,6
12/10/2019,8
12/9/2019,7
12/8/2019,6
12/7/2019,5
12/6/2019,15
12/5/2019,7
12/4/2019,8
12/3/2019,11
12/2/2019,8
12/1/2019,14
11/30/2019,3
11/29/2019,8
11/28/2019,8
11/27/2019,12
11/26/2019,7
11/25/2019,6
11/24/2019,16
11/23/2019,12
11/22/2019,3
